Geography,date_fmt,Date,Cumulative Deaths,date_str,date_value,current_date,,,,
United States,"Feb  6, 2021",Feb  6 2021,504763,"Feb 06, 2021",2/6/2021,"February 6, 2021",,,,
United States,"Feb 13, 2021",Feb 13 2021,518282,"Feb 13, 2021",2/13/2021,"February 13, 2021",,,,
United States,"Feb 20, 2021",Feb 20 2021,529089,"Feb 20, 2021",2/20/2021,"February 20, 2021",,,,
United States,"Feb 27, 2021",Feb 27 2021,537743,"Feb 27, 2021",2/27/2021,"February 27, 2021",,,,
United States,"Mar  6, 2021",Mar  6 2021,544474,"Mar 06, 2021",3/6/2021,"March 6, 2021",,,,
United States,"Mar 13, 2021",Mar 13 2021,550199,"Mar 13, 2021",3/13/2021,"March 13, 2021",,,,
United States,"Mar 20, 2021",Mar 20 2021,555092,"Mar 20, 2021",3/20/2021,"March 20, 2021",,,,
United States,"Mar 27, 2021",Mar 27 2021,559553,"Mar 27, 2021",3/27/2021,"March 27, 2021",,,,
United States,"Apr  3, 2021",Apr  3 2021,563750,"Apr 03, 2021",4/3/2021,"April 3, 2021",,,,
United States,"Apr 10, 2021",Apr 10 2021,568063,"Apr 10, 2021",4/10/2021,"April 10, 2021",,,,
United States,"Apr 17, 2021",Apr 17 2021,572513,"Apr 17, 2021",4/17/2021,"April 17, 2021",,,,
United States,"Apr 24, 2021",Apr 24 2021,577114,"Apr 24, 2021",4/24/2021,"April 24, 2021",,,,
United States,"May  1, 2021",May  1 2021,581279,"May 01, 2021",5/1/2021,"May 1, 2021",,,,
United States,"May  8, 2021",May  8 2021,585285,"May 08, 2021",5/8/2021,"May 8, 2021",,,,
United States,"May 15, 2021",May 15 2021,588963,"May 15, 2021",5/15/2021,"May 15, 2021",,,,
United States,"May 22, 2021",May 22 2021,592201,"May 22, 2021",5/22/2021,"May 22, 2021",,,,
United States,"May 29, 2021",May 29 2021,594971,"May 29, 2021",5/29/2021,"May 29, 2021",,,,
United States,"Jun  5, 2021",Jun  5 2021,597318,"Jun 05, 2021",6/5/2021,"June 5, 2021",,,,
United States,"Jun 12, 2021",Jun 12 2021,599353,"Jun 12, 2021",6/12/2021,"June 12, 2021",,,,
United States,"Jun 19, 2021",Jun 19 2021,601129,"Jun 19, 2021",6/19/2021,"June 19, 2021",,,,
United States,"Jun 26, 2021",Jun 26 2021,602764,"Jun 26, 2021",6/26/2021,"June 26, 2021",,,,
United States,"Jul  3, 2021",Jul  3 2021,604307,"Jul 03, 2021",7/3/2021,"July 3, 2021",,,,
United States,"Jul 10, 2021",Jul 10 2021,605952,"Jul 10, 2021",7/10/2021,"July 10, 2021",,,,
United States,"Jul 17, 2021",Jul 17 2021,607943,"Jul 17, 2021",7/17/2021,"July 17, 2021",,,,
United States,"Jul 24, 2021",Jul 24 2021,610703,"Jul 24, 2021",7/24/2021,"July 24, 2021",,,,
United States,"Jul 31, 2021",Jul 31 2021,614808,"Jul 31, 2021",7/31/2021,"July 31, 2021",,,,
United States,"Aug  7, 2021",Aug  7 2021,621292,"Aug 07, 2021",8/7/2021,"August 7, 2021",,,,
United States,"Aug 14, 2021",Aug 14 2021,630698,"Aug 14, 2021",8/14/2021,"August 14, 2021",,,,
United States,"Aug 21, 2021",Aug 21 2021,642879,"Aug 21, 2021",8/21/2021,"August 21, 2021",,,,
United States,"Aug 28, 2021",Aug 28 2021,657053,"Aug 28, 2021",8/28/2021,"August 28, 2021",,,,
United States,"Sep  4, 2021",Sep  4 2021,672546,"Sep 04, 2021",9/4/2021,"September 4, 2021",,,,
United States,"Sep 11, 2021",Sep 11 2021,687963,"Sep 11, 2021",9/11/2021,"September 11, 2021",,,,
United States,"Sep 18, 2021",Sep 18 2021,703174,"Sep 18, 2021",9/18/2021,"September 18, 2021",,,,
United States,"Sep 25, 2021",Sep 25 2021,717521,"Sep 25, 2021",9/25/2021,"September 25, 2021",,,,
United States,"Oct  2, 2021",Oct  2 2021,730351,"Oct 02, 2021",10/2/2021,"October 2, 2021",,,,
United States,"Oct  9, 2021",Oct  9 2021,741531,"Oct 09, 2021",10/9/2021,"October 9, 2021",,,,
United States,"Oct 16, 2021",Oct 16 2021,751409,"Oct 16, 2021",10/16/2021,"October 16, 2021",,,,
United States,"Oct 23, 2021",Oct 23 2021,760350,"Oct 23, 2021",10/23/2021,"October 23, 2021",,,,
United States,"Oct 30, 2021",Oct 30 2021,768310,"Oct 30, 2021",10/30/2021,"October 30, 2021",,,,
United States,"Nov  6, 2021",Nov  6 2021,775597,"Nov 06, 2021",11/6/2021,"November 6, 2021",,,,
United States,"Nov 13, 2021",Nov 13 2021,782756,"Nov 13, 2021",11/13/2021,"November 13, 2021",,,,
United States,"Nov 20, 2021",Nov 20 2021,790066,"Nov 20, 2021",11/20/2021,"November 20, 2021",,,,
United States,"Nov 27, 2021",Nov 27 2021,797952,"Nov 27, 2021",11/27/2021,"November 27, 2021",,,,
United States,"Dec  4, 2021",Dec  4 2021,806733,"Dec 04, 2021",12/4/2021,"December 4, 2021",,,,
United States,"Dec 11, 2021",Dec 11 2021,816467,"Dec 11, 2021",12/11/2021,"December 11, 2021",,,,
United States,"Dec 18, 2021",Dec 18 2021,826717,"Dec 18, 2021",12/18/2021,"December 18, 2021",,,,
United States,"Dec 25, 2021",Dec 25 2021,837175,"Dec 25, 2021",12/25/2021,"December 25, 2021",,,,
United States,"Jan  1, 2022",Jan  1 2022,848852,"Jan 01, 2022",1/1/2022,"January 1, 2022",,,,
United States,"Jan  8, 2022",Jan  8 2022,863977,"Jan 08, 2022",1/8/2022,"January 8, 2022",,,,
United States,"Jan 15, 2022",Jan 15 2022,883055,"Jan 15, 2022",1/15/2022,"January 15, 2022",,,,
United States,"Jan 22, 2022",Jan 22 2022,904390,"Jan 22, 2022",1/22/2022,"January 22, 2022",,,,
United States,"Jan 29, 2022",Jan 29 2022,925356,"Jan 29, 2022",1/29/2022,"January 29, 2022",,,,
United States,"Feb  5, 2022",Feb  5 2022,944112,"Feb 05, 2022",2/5/2022,"February 5, 2022",,,,
United States,"Feb 12, 2022",Feb 12 2022,959429,"Feb 12, 2022",2/12/2022,"February 12, 2022",,,,
United States,"Feb 19, 2022",Feb 19 2022,970995,"Feb 19, 2022",2/19/2022,"February 19, 2022",,,,
United States,"Feb 26, 2022",Feb 26 2022,979285,"Feb 26, 2022",2/26/2022,"February 26, 2022",,,,
United States,"Mar  5, 2022",Mar  5 2022,985326,"Mar 05, 2022",3/5/2022,"March 5, 2022",,,,
United States,"Mar 12, 2022",Mar 12 2022,989730,"Mar 12, 2022",3/12/2022,"March 12, 2022",,,,
United States,"Mar 19, 2022",Mar 19 2022,992855,"Mar 19, 2022",3/19/2022,"March 19, 2022",,,,
United States,"Mar 26, 2022",Mar 26 2022,995360,"Mar 26, 2022",3/26/2022,"March 26, 2022",,,,
United States,"Apr  2, 2022",Apr  2 2022,997268,"Apr 02, 2022",4/2/2022,"April 2, 2022",,,,
United States,"Apr  9, 2022",Apr  9 2022,998820,"Apr 09, 2022",4/9/2022,"April 9, 2022",,,,
United States,"Apr 16, 2022",Apr 16 2022,1000230,"Apr 16, 2022",4/16/2022,"April 16, 2022",,,,
United States,"Apr 23, 2022",Apr 23 2022,1001575,"Apr 23, 2022",4/23/2022,"April 23, 2022",,,,
United States,"Apr 30, 2022",Apr 30 2022,1003001,"Apr 30, 2022",4/30/2022,"April 30, 2022",,,,
United States,"May  7, 2022",May  7 2022,1004434,"May 07, 2022",5/7/2022,"May 7, 2022",,,,
United States,"May 14, 2022",May 14 2022,1006110,"May 14, 2022",5/14/2022,"May 14, 2022",,,,
United States,"May 21, 2022",May 21 2022,1007852,"May 21, 2022",5/21/2022,"May 21, 2022",,,,
United States,"May 28, 2022",May 28 2022,1009792,"May 28, 2022",5/28/2022,"May 28, 2022",,,,
United States,"Jun  4, 2022",Jun  4 2022,1011799,"Jun 04, 2022",6/4/2022,"June 4, 2022",,,,
United States,"Jun 11, 2022",Jun 11 2022,1013938,"Jun 11, 2022",6/11/2022,"June 11, 2022",,,,
United States,"Jun 18, 2022",Jun 18 2022,1016132,"Jun 18, 2022",6/18/2022,"June 18, 2022",,,,
United States,"Jun 25, 2022",Jun 25 2022,1018461,"Jun 25, 2022",6/25/2022,"June 25, 2022",,,,
United States,"Jul  2, 2022",Jul  2 2022,1020881,"Jul 02, 2022",7/2/2022,"July 2, 2022",,,,
United States,"Jul  9, 2022",Jul  9 2022,1023469,"Jul 09, 2022",7/9/2022,"July 9, 2022",,,,
United States,"Jul 16, 2022",Jul 16 2022,1026398,"Jul 16, 2022",7/16/2022,"July 16, 2022",,,,
United States,"Jul 23, 2022",Jul 23 2022,1029624,"Jul 23, 2022",7/23/2022,"July 23, 2022",,,,
United States,"Jul 30, 2022",Jul 30 2022,1033025,"Jul 30, 2022",7/30/2022,"July 30, 2022",,,,
United States,"Aug  6, 2022",Aug  6 2022,1036397,"Aug 06, 2022",8/6/2022,"August 6, 2022",,,,
United States,"Aug 13, 2022",Aug 13 2022,1039681,"Aug 13, 2022",8/13/2022,"August 13, 2022",,,,
United States,"Aug 20, 2022",Aug 20 2022,1042847,"Aug 20, 2022",8/20/2022,"August 20, 2022",,,,
United States,"Aug 27, 2022",Aug 27 2022,1045897,"Aug 27, 2022",8/27/2022,"August 27, 2022",,,,
United States,"Sep  3, 2022",Sep  3 2022,1048823,"Sep 03, 2022",9/3/2022,"September 3, 2022",,,,
United States,"Sep 10, 2022",Sep 10 2022,1051631,"Sep 10, 2022",9/10/2022,"September 10, 2022",,,,
United States,"Sep 17, 2022",Sep 17 2022,1054144,"Sep 17, 2022",9/17/2022,"September 17, 2022",,,,
United States,"Sep 24, 2022",Sep 24 2022,1056690,"Sep 24, 2022",9/24/2022,"September 24, 2022",,,,
United States,"Oct  1, 2022",Oct  1 2022,1059067,"Oct 01, 2022",10/1/2022,"October 1, 2022",,,,
United States,"Oct  8, 2022",Oct  8 2022,1061261,"Oct 08, 2022",10/8/2022,"October 8, 2022",,,,
United States,"Oct 15, 2022",Oct 15 2022,1063408,"Oct 15, 2022",10/15/2022,"October 15, 2022",,,,
United States,"Oct 22, 2022",Oct 22 2022,1065606,"Oct 22, 2022",10/22/2022,"October 22, 2022",,,,
