date_updated,state,start_date,legend,curr_date,month,end_date,tot_cases,new_cases,abs_new_cases,tot_deaths,new_deaths,abs_new_deaths,new_historic_cases,new_historic_deaths,state_full,region,abbreviaton_map,states_map,Region_map,region_cumulative_cases,region_new_cases_per_week,region_cumulative_deaths,region_deaths_per_week
1/23/2020,AK,1/16/2020,"Jan 16, 2020",16-Jan-20,20-Jan,1/22/2020,0,0,0,0,0,0,0,0,Alaska,West,CT,Connecticut,Northeast,0,0,0,0
1/30/2020,AK,1/23/2020,"Jan 23, 2020",23-Jan-20,20-Jan,1/29/2020,0,0,0,0,0,0,0,0,Alaska,West,ME,Maine,Northeast,1,0,0,0
2/6/2020,AK,1/30/2020,"Jan 30, 2020",30-Jan-20,20-Feb,2/5/2020,0,0,0,0,0,0,0,0,Alaska,West,MA,Massachusetts,Northeast,4,1,0,0
2/13/2020,AK,2/6/2020,"Feb 6, 2020",6-Feb-20,20-Feb,2/12/2020,0,0,0,0,0,0,0,0,Alaska,West,NH,New Hampshire,Northeast,10,3,0,0
2/20/2020,AK,2/13/2020,"Feb 13, 2020",13-Feb-20,20-Feb,2/19/2020,0,0,0,0,0,0,0,0,Alaska,West,NJ,New Jersey,Northeast,18,6,0,0
2/27/2020,AK,2/20/2020,"Feb 20, 2020",20-Feb-20,20-Feb,2/26/2020,0,0,0,0,0,0,0,0,Alaska,West,NY,New York,Northeast,32,8,0,0
3/5/2020,AK,2/27/2020,"Feb 27, 2020",27-Feb-20,20-Mar,3/4/2020,0,0,0,0,0,0,0,0,Alaska,West,PA,Pennsylvania,Northeast,54,14,0,0
3/12/2020,AK,3/5/2020,"Mar 5, 2020",5-Mar-20,20-Mar,3/11/2020,0,0,0,0,0,0,0,0,Alaska,West,RI,Rhode Island,Northeast,130,22,11,11
3/19/2020,AK,3/12/2020,"Mar 12, 2020",12-Mar-20,20-Mar,3/18/2020,11,11,11,0,0,0,0,0,Alaska,West,VT,Vermont,Northeast,682,76,28,17
3/26/2020,AK,3/19/2020,"Mar 19, 2020",19-Mar-20,20-Mar,3/25/2020,63,52,41,1,1,1,0,0,Alaska,West,IL,Illinois,Midwest,2496,552,92,64
4/2/2020,AK,3/26/2020,"Mar 26, 2020",26-Mar-20,20-Apr,4/1/2020,149,86,34,3,2,1,0,0,Alaska,West,IN,Indiana,Midwest,9087,1814,249,157
4/9/2020,AK,4/2/2020,"Apr 2, 2020",2-Apr-20,20-Apr,4/8/2020,235,86,0,7,4,2,0,0,Alaska,West,IA,Iowa,Midwest,24129,6591,682,433
4/16/2020,AK,4/9/2020,"Apr 9, 2020",9-Apr-20,20-Apr,4/15/2020,300,65,21,9,2,2,0,0,Alaska,West,KS,Kansas,Midwest,43529,15042,1422,740
4/23/2020,AK,4/16/2020,"Apr 16, 2020",16-Apr-20,20-Apr,4/22/2020,337,37,28,9,0,2,0,0,Alaska,West,MI,Michigan,Midwest,60259,19400,2329,907
4/30/2020,AK,4/23/2020,"Apr 23, 2020",23-Apr-20,20-Apr,4/29/2020,355,18,19,9,0,0,0,0,Alaska,West,MN,Minnesota,Midwest,80457,16730,3404,1075
5/7/2020,AK,4/30/2020,"Apr 30, 2020",30-Apr-20,20-May,5/6/2020,374,19,1,10,1,1,0,0,Alaska,West,MO,Missouri,Midwest,102994,20198,4471,1067
5/14/2020,AK,5/7/2020,"May 7, 2020",7-May-20,20-May,5/13/2020,389,15,4,10,0,1,0,0,Alaska,West,NE,Nebraska,Midwest,126371,22537,5533,1062
5/21/2020,AK,5/14/2020,"May 14, 2020",14-May-20,20-May,5/20/2020,404,15,0,10,0,0,0,0,Alaska,West,ND,North Dakota,Midwest,148819,23377,6573,1040
5/28/2020,AK,5/21/2020,"May 21, 2020",21-May-20,20-May,5/27/2020,427,23,8,10,0,0,0,0,Alaska,West,OH,Ohio,Midwest,171855,22448,7543,970
6/4/2020,AK,5/28/2020,"May 28, 2020",28-May-20,20-Jun,6/3/2020,518,91,68,10,0,0,0,0,Alaska,West,SD,South Dakota,Midwest,196230,23036,8214,671
6/11/2020,AK,6/4/2020,"Jun 4, 2020",4-Jun-20,20-Jun,6/10/2020,616,98,7,11,1,1,0,0,Alaska,West,WI,Wisconsin,Midwest,228248,24375,9099,885
6/18/2020,AK,6/11/2020,"Jun 11, 2020",11-Jun-20,20-Jun,6/17/2020,713,97,1,12,1,0,0,0,Alaska,West,AL,Alabama,South,228248,32018,9831,732
6/25/2020,AK,6/18/2020,"Jun 18, 2020",18-Jun-20,20-Jun,6/24/2020,821,108,11,12,0,1,0,0,Alaska,West,AR,Arkansas,South,306112,35376,10573,742
7/2/2020,AK,6/25/2020,"Jun 25, 2020",25-Jun-20,20-Jul,7/1/2020,1020,199,91,13,1,1,0,0,Alaska,West,DE,Delaware,South,372808,42488,11375,802
7/9/2020,AK,7/2/2020,"Jul 2, 2020",2-Jul-20,20-Jul,7/8/2020,1273,253,54,16,3,2,0,0,Alaska,West,DC,District of Columbia,South,459231,66696,12241,866
7/16/2020,AK,7/9/2020,"Jul 9, 2020",9-Jul-20,20-Jul,7/15/2020,1694,421,168,16,0,3,0,0,Alaska,West,FL,Florida,South,564062,86423,13170,929
7/23/2020,AK,7/16/2020,"Jul 16, 2020",16-Jul-20,20-Jul,7/22/2020,2202,508,87,18,2,2,0,0,Alaska,West,GA,Georgia,South,673843,104831,14594,1424
7/30/2020,AK,7/23/2020,"Jul 23, 2020",23-Jul-20,20-Jul,7/29/2020,2886,684,176,21,3,1,0,0,Alaska,West,KY,Kentucky,South,791552,109781,16067,1473
8/6/2020,AK,7/30/2020,"Jul 30, 2020",30-Jul-20,20-Aug,8/5/2020,3487,601,83,25,4,1,0,0,Alaska,West,LA,Louisiana,South,902323,117709,17710,1643
8/13/2020,AK,8/6/2020,"Aug 6, 2020",6-Aug-20,20-Aug,8/12/2020,3978,491,110,27,2,2,0,0,Alaska,West,MD,Maryland,South,993952,110771,19529,1819
8/20/2020,AK,8/13/2020,"Aug 13, 2020",13-Aug-20,20-Aug,8/19/2020,4536,558,67,29,2,0,0,0,Alaska,West,MS,Mississippi,South,1087399,91629,21305,1776
8/27/2020,AK,8/20/2020,"Aug 20, 2020",20-Aug-20,20-Aug,8/26/2020,5001,465,93,36,7,5,0,0,Alaska,West,NC,North Carolina,South,1169222,93447,22820,1515
9/3/2020,AK,8/27/2020,"Aug 27, 2020",27-Aug-20,20-Sep,9/2/2020,5475,474,9,38,2,5,0,0,Alaska,West,OK,Oklahoma,South,1234286,81823,24314,1494
9/10/2020,AK,9/3/2020,"Sep 3, 2020",3-Sep-20,20-Sep,9/9/2020,6022,547,73,41,3,1,0,0,Alaska,West,SC,South Carolina,South,1290251,65064,25615,1301
9/17/2020,AK,9/10/2020,"Sep 10, 2020",10-Sep-20,20-Sep,9/16/2020,6551,529,18,43,2,1,0,0,Alaska,West,TN,Tennessee,South,1338519,55965,26848,1233
9/24/2020,AK,9/17/2020,"Sep 17, 2020",17-Sep-20,20-Sep,9/23/2020,7193,642,113,44,1,1,0,0,Alaska,West,TX,Texas,South,1384744,48268,27937,1089
10/1/2020,AK,9/24/2020,"Sep 24, 2020",24-Sep-20,20-Oct,9/30/2020,8026,833,191,55,11,10,0,0,Alaska,West,VA,Virginia,South,1440148,46225,28973,1036
10/8/2020,AK,10/1/2020,"Oct 1, 2020",1-Oct-20,20-Oct,10/7/2020,9046,1020,187,59,4,7,0,0,Alaska,West,WV,West Virginia,South,1497057,55404,29944,971
10/15/2020,AK,10/8/2020,"Oct 8, 2020",8-Oct-20,20-Oct,10/14/2020,10387,1341,321,64,5,1,0,0,Alaska,West,AK,Alaska,West,1555588,56909,30776,832
10/22/2020,AK,10/15/2020,"Oct 15, 2020",15-Oct-20,20-Oct,10/21/2020,11925,1538,197,68,4,1,0,0,Alaska,West,AZ,Arizona,West,1625957,58531,31492,716
10/29/2020,AK,10/22/2020,"Oct 22, 2020",22-Oct-20,20-Oct,10/28/2020,14539,2614,1076,71,3,1,0,0,Alaska,West,CA,California,West,1703756,70369,32355,863
11/5/2020,AK,10/29/2020,"Oct 29, 2020",29-Oct-20,20-Nov,11/4/2020,17266,2727,113,86,15,12,0,0,Alaska,West,CO,Colorado,West,1801824,77799,33239,884
11/12/2020,AK,11/5/2020,"Nov 5, 2020",5-Nov-20,20-Nov,11/11/2020,20864,3598,871,98,12,3,0,0,Alaska,West,HI,Hawaii,West,1921151,98068,34290,1051
11/19/2020,AK,11/12/2020,"Nov 12, 2020",12-Nov-20,20-Nov,11/18/2020,25180,4316,718,102,4,8,0,0,Alaska,West,ID,Idaho,West,2088522,119327,35463,1173
11/26/2020,AK,11/19/2020,"Nov 19, 2020",19-Nov-20,20-Nov,11/25/2020,29292,4112,204,118,16,12,0,0,Alaska,West,MT,Montana,West,2305913,167371,36753,1290
12/3/2020,AK,11/26/2020,"Nov 26, 2020",26-Nov-20,20-Dec,12/2/2020,33816,4524,412,123,5,11,0,0,Alaska,West,NV,Nevada,West,2584012,217391,38560,1807
12/10/2020,AK,12/3/2020,"Dec 3, 2020",3-Dec-20,20-Dec,12/9/2020,38438,4622,98,150,27,22,0,0,Alaska,West,NM,New Mexico,West,2852628,278099,40382,1822
12/17/2020,AK,12/10/2020,"Dec 10, 2020",10-Dec-20,20-Dec,12/16/2020,41855,3417,1205,180,30,3,0,0,Alaska,West,OR,Oregon,West,3218960,268616,43068,2686
12/24/2020,AK,12/17/2020,"Dec 17, 2020",17-Dec-20,20-Dec,12/23/2020,44078,2223,1194,196,16,14,0,0,Alaska,West,UT,Utah,West,3646876,366332,46251,3183
12/31/2020,AK,12/24/2020,"Dec 24, 2020",24-Dec-20,20-Dec,12/30/2020,45802,1724,499,203,7,9,0,0,Alaska,West,WA,Washington,West,4097849,427916,50007,3756
1/7/2021,AK,12/31/2020,"Dec 31, 2020",31-Dec-20,21-Jan,1/6/2021,47828,2026,302,220,17,10,0,0,Alaska,West,WY,Wyoming,West,4489052,450973,53406,3399
1/14/2021,AK,1/7/2021,"Jan 7, 2021",7-Jan-21,21-Jan,1/13/2021,49801,1973,53,226,6,11,0,0,Alaska,West,US,United States,United States,4931484,391203,57888,4482
1/21/2021,AK,1/14/2021,"Jan 14, 2021",14-Jan-21,21-Jan,1/20/2021,51178,1377,596,253,27,21,0,0,Alaska,West,PR,Puerto Rico,Other,5416046,442432,63875,5987
1/28/2021,AK,1/21/2021,"Jan 21, 2021",21-Jan-21,21-Jan,1/27/2021,52359,1181,196,261,8,19,0,0,Alaska,West,NYC,New York City,Northeast,5786777,484562,68864,4989
2/4/2021,AK,1/28/2021,"Jan 28, 2021",28-Jan-21,21-Feb,2/3/2021,53305,946,235,279,18,10,0,0,Alaska,West,FSM, Federated States of Micronesia,Other,6054737,370731,74912,6048
2/11/2021,AK,2/4/2021,"Feb 4, 2021",4-Feb-21,21-Feb,2/10/2021,54294,989,43,280,1,17,0,0,Alaska,West,GU, Guam,Other,6253747,267960,80519,5607
2/18/2021,AK,2/11/2021,"Feb 11, 2021",11-Feb-21,21-Feb,2/17/2021,55101,807,182,288,8,7,0,0,Alaska,West,RMI, Marshall Islands,Other,6404203,199010,85651,5132
2/25/2021,AK,2/18/2021,"Feb 18, 2021",18-Feb-21,21-Feb,2/24/2021,55986,885,78,289,1,7,0,0,Alaska,West,PW, Palau,Other,6504301,150456,89593,3942
3/4/2021,AK,2/25/2021,"Feb 25, 2021",25-Feb-21,21-Mar,3/3/2021,56862,876,9,301,12,11,0,0,Alaska,West,"AS	", American Samoa,Other,6588783,100098,93209,3616
3/11/2021,AK,3/4/2021,"Mar 4, 2021",4-Mar-21,21-Mar,3/10/2021,57772,910,34,303,2,10,0,0,Alaska,West,MP, Northern Mariana Islands,Other,6656682,84482,97093,3884
3/18/2021,AK,3/11/2021,"Mar 11, 2021",11-Mar-21,21-Mar,3/17/2021,58686,914,4,305,2,0,0,0,Alaska,West,PR,"	 Puerto Rico",Other,6721397,67899,99744,2651
3/25/2021,AK,3/18/2021,"Mar 18, 2021",18-Mar-21,21-Mar,3/24/2021,59630,944,30,310,5,3,0,0,Alaska,West,VI, U.S. Virgin Islands,Other,6774019,64715,101578,1834
4/1/2021,AK,3/25/2021,"Mar 25, 2021",25-Mar-21,21-Apr,3/31/2021,60816,1186,242,311,1,4,0,0,Alaska,West,AS,American Samoa,Other,6824565,52622,103345,1767
4/8/2021,AK,4/1/2021,"Apr 1, 2021",1-Apr-21,21-Apr,4/7/2021,62024,1208,22,311,0,1,0,0,Alaska,West,,,,6877360,50546,104766,1421
4/15/2021,AK,4/8/2021,"Apr 8, 2021",8-Apr-21,21-Apr,4/14/2021,63137,1113,95,312,1,1,0,0,Alaska,West,,,,6933730,52795,105852,1086
4/22/2021,AK,4/15/2021,"Apr 15, 2021",15-Apr-21,21-Apr,4/21/2021,64283,1146,33,332,20,19,0,0,Alaska,West,,,,6997228,56370,106877,1025
4/29/2021,AK,4/22/2021,"Apr 22, 2021",22-Apr-21,21-Apr,4/28/2021,65325,1042,104,344,12,8,0,0,Alaska,West,,,,7056592,63498,107745,868
5/6/2021,AK,4/29/2021,"Apr 29, 2021",29-Apr-21,21-May,5/5/2021,66056,731,311,345,1,11,0,0,Alaska,West,,,,7113461,59364,108431,686
5/13/2021,AK,5/6/2021,"May 6, 2021",6-May-21,21-May,5/12/2021,66621,565,166,350,5,4,0,0,Alaska,West,,,,7168038,56869,109306,875
5/20/2021,AK,5/13/2021,"May 13, 2021",13-May-21,21-May,5/19/2021,67074,453,112,366,16,11,0,0,Alaska,West,,,,7216701,54577,110071,765
5/27/2021,AK,5/20/2021,"May 20, 2021",20-May-21,21-May,5/26/2021,67371,297,156,366,0,16,0,0,Alaska,West,,,,7255967,48663,110685,614
6/3/2021,AK,5/27/2021,"May 27, 2021",27-May-21,21-Jun,6/2/2021,67601,230,67,366,0,0,0,0,Alaska,West,,,,7291136,39266,111347,662
6/10/2021,AK,6/3/2021,"Jun 3, 2021",3-Jun-21,21-Jun,6/9/2021,67786,185,45,366,0,0,0,0,Alaska,West,,,,7322047,35169,111866,519
6/17/2021,AK,6/10/2021,"Jun 10, 2021",10-Jun-21,21-Jun,6/16/2021,67941,155,30,370,4,4,0,0,Alaska,West,,,,7347736,30911,112487,621
6/24/2021,AK,6/17/2021,"Jun 17, 2021",17-Jun-21,21-Jun,6/23/2021,68178,237,82,371,1,3,0,0,Alaska,West,,,,7370854,25689,112889,402
7/1/2021,AK,6/24/2021,"Jun 24, 2021",24-Jun-21,21-Jul,6/30/2021,68435,257,20,374,3,2,0,0,Alaska,West,,,,7394653,23118,113422,533
7/8/2021,AK,7/1/2021,"Jul 1, 2021",1-Jul-21,21-Jul,7/7/2021,68748,313,56,374,0,3,0,0,Alaska,West,,,,7421957,23799,113990,568
7/15/2021,AK,7/8/2021,"Jul 8, 2021",8-Jul-21,21-Jul,7/14/2021,69320,572,259,378,4,4,0,0,Alaska,West,,,,7450925,27304,114451,461
7/22/2021,AK,7/15/2021,"Jul 15, 2021",15-Jul-21,21-Jul,7/21/2021,70519,1199,627,379,1,3,0,0,Alaska,West,,,,7500005,28968,114986,535
7/29/2021,AK,7/22/2021,"Jul 22, 2021",22-Jul-21,21-Jul,7/28/2021,72065,1546,347,383,4,3,0,0,Alaska,West,,,,7571477,49080,115449,463
8/5/2021,AK,7/29/2021,"Jul 29, 2021",29-Jul-21,21-Aug,8/4/2021,73957,1892,346,390,7,3,0,0,Alaska,West,,,,7671230,71472,115939,490
8/12/2021,AK,8/5/2021,"Aug 5, 2021",5-Aug-21,21-Aug,8/11/2021,76069,2112,220,397,7,0,0,0,Alaska,West,,,,7811500,99753,116577,638
8/19/2021,AK,8/12/2021,"Aug 12, 2021",12-Aug-21,21-Aug,8/18/2021,79070,3001,889,409,12,5,0,0,Alaska,West,,,,7980072,140270,117369,792
8/26/2021,AK,8/19/2021,"Aug 19, 2021",19-Aug-21,21-Aug,8/25/2021,82427,3357,356,435,26,14,0,0,Alaska,West,,,,8175624,168572,118345,976
9/2/2021,AK,8/26/2021,"Aug 26, 2021",26-Aug-21,21-Sep,9/1/2021,86078,3651,294,445,10,16,0,0,Alaska,West,,,,8378608,195552,119700,1355
9/9/2021,AK,9/2/2021,"Sep 2, 2021",2-Sep-21,21-Sep,9/8/2021,90342,4264,613,453,8,2,0,0,Alaska,West,,,,8610033,202984,121362,1662
9/16/2021,AK,9/9/2021,"Sep 9, 2021",9-Sep-21,21-Sep,9/15/2021,95229,4887,623,465,12,4,0,0,Alaska,West,,,,8798381,231425,122985,1623
9/23/2021,AK,9/16/2021,"Sep 16, 2021",16-Sep-21,21-Sep,9/22/2021,101487,6258,1371,478,13,1,0,0,Alaska,West,,,,8991132,188348,125306,2321
9/30/2021,AK,9/23/2021,"Sep 23, 2021",23-Sep-21,21-Sep,9/29/2021,109923,8436,2178,563,85,72,0,0,Alaska,West,,,,9161977,192751,127496,2190
10/7/2021,AK,9/30/2021,"Sep 30, 2021",30-Sep-21,21-Oct,10/6/2021,115667,5744,2692,581,18,67,0,0,Alaska,West,,,,9325256,170845,129763,2267
10/14/2021,AK,10/7/2021,"Oct 7, 2021",7-Oct-21,21-Oct,10/13/2021,121844,6177,433,608,27,9,0,0,Alaska,West,,,,9477673,163279,131835,2072
10/21/2021,AK,10/14/2021,"Oct 14, 2021",14-Oct-21,21-Oct,10/20/2021,127374,5530,647,687,79,52,0,0,Alaska,West,,,,9616781,152417,133864,2029
10/28/2021,AK,10/21/2021,"Oct 21, 2021",21-Oct-21,21-Oct,10/27/2021,131999,4625,905,712,25,54,0,0,Alaska,West,,,,9750245,139108,136016,2152
11/4/2021,AK,10/28/2021,"Oct 28, 2021",28-Oct-21,21-Nov,11/3/2021,136133,4134,491,733,21,4,0,0,Alaska,West,,,,9896248,133464,137940,1924
11/11/2021,AK,11/4/2021,"Nov 4, 2021",4-Nov-21,21-Nov,11/10/2021,139524,3391,743,827,94,73,0,0,Alaska,West,,,,10038684,146003,139623,1683
11/18/2021,AK,11/11/2021,"Nov 11, 2021",11-Nov-21,21-Nov,11/17/2021,142443,2919,472,838,11,83,0,0,Alaska,West,,,,10188982,142436,141608,1985
11/25/2021,AK,11/18/2021,"Nov 18, 2021",18-Nov-21,21-Nov,11/24/2021,144792,2349,570,866,28,17,0,0,Alaska,West,,,,10330209,150298,143475,1867
12/2/2021,AK,11/25/2021,"Nov 25, 2021",25-Nov-21,21-Dec,12/1/2021,146508,1716,633,877,11,17,0,0,Alaska,West,,,,10463463,141227,145616,2141
12/9/2021,AK,12/2/2021,"Dec 2, 2021",2-Dec-21,21-Dec,12/8/2021,148018,1510,206,882,5,6,0,0,Alaska,West,,,,10574628,133254,147212,1596
12/16/2021,AK,12/9/2021,"Dec 9, 2021",9-Dec-21,21-Dec,12/15/2021,149237,1219,291,885,3,2,0,0,Alaska,West,,,,10718420,111165,149188,1976
12/23/2021,AK,12/16/2021,"Dec 16, 2021",16-Dec-21,21-Dec,12/22/2021,150283,1046,173,972,87,84,0,0,Alaska,West,,,,10837928,143792,151157,1969
12/30/2021,AK,12/23/2021,"Dec 23, 2021",23-Dec-21,21-Dec,12/29/2021,152363,2080,1034,974,2,85,0,0,Alaska,West,,,,10995274,119508,153115,1958
1/6/2022,AK,12/30/2021,"Dec 30, 2021",30-Dec-21,22-Jan,1/5/2022,157886,5523,3443,975,1,1,0,0,Alaska,West,,,,11345169,157346,154445,1330
1/13/2022,AK,1/6/2022,"Jan 6, 2022",6-Jan-22,22-Jan,1/12/2022,170052,12166,6643,981,6,5,0,0,Alaska,West,,,,12098971,349895,155948,1503
1/20/2022,AK,1/13/2022,"Jan 13, 2022",13-Jan-22,22-Jan,1/19/2022,185787,15735,3569,1047,66,60,0,0,Alaska,West,,,,13471328,753802,157984,2036
1/27/2022,AK,1/20/2022,"Jan 20, 2022",20-Jan-22,22-Jan,1/26/2022,202626,16839,1104,1077,30,36,0,0,Alaska,West,,,,14924769,1372357,160026,2042
2/3/2022,AK,1/27/2022,"Jan 27, 2022",27-Jan-22,22-Feb,2/2/2022,216048,13422,3417,1089,12,18,0,0,Alaska,West,,,,16221932,1453441,162873,2847
2/10/2022,AK,2/3/2022,"Feb 3, 2022",3-Feb-22,22-Feb,2/9/2022,224165,8117,5305,1110,21,9,0,0,Alaska,West,,,,17001246,1297163,165898,3025
2/17/2022,AK,2/10/2022,"Feb 10, 2022",10-Feb-22,22-Feb,2/16/2022,228123,3958,4159,1137,27,6,0,0,Alaska,West,,,,17419697,779314,169039,3141
2/24/2022,AK,2/17/2022,"Feb 17, 2022",17-Feb-22,22-Feb,2/23/2022,230807,2684,1274,1159,22,5,0,0,Alaska,West,,,,17652658,418451,172063,3024
3/3/2022,AK,2/24/2022,"Feb 24, 2022",24-Feb-22,22-Mar,3/2/2022,232898,2091,593,1187,28,6,0,0,Alaska,West,,,,17805737,232961,174714,2651
3/10/2022,AK,3/3/2022,"Mar 3, 2022",3-Mar-22,22-Mar,3/9/2022,235338,2440,349,1197,10,18,0,0,Alaska,West,,,,17919728,153079,176984,2270
3/17/2022,AK,3/10/2022,"Mar 10, 2022",10-Mar-22,22-Mar,3/16/2022,236745,1407,1033,1198,1,9,0,0,Alaska,West,,,,18010921,113991,179414,2430
3/24/2022,AK,3/17/2022,"Mar 17, 2022",17-Mar-22,22-Mar,3/23/2022,238168,1423,16,1215,17,16,0,0,Alaska,West,,,,18081668,91193,181112,1698
3/31/2022,AK,3/24/2022,"Mar 24, 2022",24-Mar-22,22-Mar,3/30/2022,239613,1445,22,1224,9,8,0,0,Alaska,West,,,,18135590,70747,182695,1583
4/7/2022,AK,3/31/2022,"Mar 31, 2022",31-Mar-22,22-Apr,4/6/2022,240990,1377,68,1224,0,9,0,0,Alaska,West,,,,18180610,53922,184016,1321
4/14/2022,AK,4/7/2022,"Apr 7, 2022",7-Apr-22,22-Apr,4/13/2022,242227,1237,140,1230,6,6,0,0,Alaska,West,,,,18228558,45020,185057,1041
4/21/2022,AK,4/14/2022,"Apr 14, 2022",14-Apr-22,22-Apr,4/20/2022,243740,1513,276,1243,13,7,0,0,Alaska,West,,,,18260508,47948,186106,1049
4/28/2022,AK,4/21/2022,"Apr 21, 2022",21-Apr-22,22-Apr,4/27/2022,245165,1425,88,1247,4,9,0,0,Alaska,West,,,,18327653,31950,187031,925
5/5/2022,AK,4/28/2022,"Apr 28, 2022",28-Apr-22,22-May,5/4/2022,246582,1417,8,1248,1,3,0,0,Alaska,West,,,,18409498,67145,187761,730
5/12/2022,AK,5/5/2022,"May 5, 2022",5-May-22,22-May,5/11/2022,248121,1539,122,1259,11,10,0,0,Alaska,West,,,,18505539,81845,188517,756
5/19/2022,AK,5/12/2022,"May 12, 2022",12-May-22,22-May,5/18/2022,249818,1697,158,1270,11,0,0,0,Alaska,West,,,,18624147,96041,189031,514
5/26/2022,AK,5/19/2022,"May 19, 2022",19-May-22,22-May,5/25/2022,251699,1881,184,1270,0,11,0,0,Alaska,West,,,,18773898,118608,189553,522
6/2/2022,AK,5/26/2022,"May 26, 2022",26-May-22,22-Jun,6/1/2022,253643,1944,63,1270,0,0,0,0,Alaska,West,,,,18969505,149751,190150,597
6/9/2022,AK,6/2/2022,"Jun 2, 2022",2-Jun-22,22-Jun,6/8/2022,255700,2057,113,1270,0,0,0,0,Alaska,West,,,,19164451,195607,190676,526
6/16/2022,AK,6/9/2022,"Jun 9, 2022",9-Jun-22,22-Jun,6/15/2022,257682,1982,75,1270,0,0,0,0,Alaska,West,,,,19378325,194946,191162,486
6/23/2022,AK,6/16/2022,"Jun 16, 2022",16-Jun-22,22-Jun,6/22/2022,259819,2137,155,1270,0,0,0,0,Alaska,West,,,,19597069,213874,191666,504
6/30/2022,AK,6/23/2022,"Jun 23, 2022",23-Jun-22,22-Jun,6/29/2022,262585,2766,629,1270,0,0,0,0,Alaska,West,,,,19794904,218744,192178,512
7/7/2022,AK,6/30/2022,"Jun 30, 2022",30-Jun-22,22-Jul,7/6/2022,264573,1988,778,1270,0,0,0,0,Alaska,West,,,,20025855,197835,192764,586
7/14/2022,AK,7/7/2022,"Jul 7, 2022",7-Jul-22,22-Jul,7/13/2022,266706,2133,145,1275,5,5,0,0,Alaska,West,,,,20256223,230951,193353,589
7/21/2022,AK,7/14/2022,"Jul 14, 2022",14-Jul-22,22-Jul,7/20/2022,269051,2345,212,1275,0,5,0,0,Alaska,West,,,,20485469,230368,194041,688
7/28/2022,AK,7/21/2022,"Jul 21, 2022",21-Jul-22,22-Jul,7/27/2022,271101,2050,295,1275,0,0,0,0,Alaska,West,,,,20727958,229246,194827,786
8/4/2022,AK,7/28/2022,"Jul 28, 2022",28-Jul-22,22-Aug,8/3/2022,273674,2573,523,1275,0,0,0,0,Alaska,West,,,,20972334,242489,195599,772
8/11/2022,AK,8/4/2022,"Aug 4, 2022",4-Aug-22,22-Aug,8/10/2022,275542,1868,705,1296,21,21,0,0,Alaska,West,,,,21164281,244376,196331,732
8/18/2022,AK,8/11/2022,"Aug 11, 2022",11-Aug-22,22-Aug,8/17/2022,277007,1465,403,1296,0,21,0,0,Alaska,West,,,,21324468,191947,197064,733
8/25/2022,AK,8/18/2022,"Aug 18, 2022",18-Aug-22,22-Aug,8/24/2022,278680,1673,208,1304,8,8,0,0,Alaska,West,,,,21465151,160187,197804,740
9/1/2022,AK,8/25/2022,"Aug 25, 2022",25-Aug-22,22-Sep,8/31/2022,279888,1208,465,1304,0,8,0,0,Alaska,West,,,,21587631,140683,198473,669
9/8/2022,AK,9/1/2022,"Sep 1, 2022",1-Sep-22,22-Sep,9/7/2022,280767,879,329,1304,0,0,0,0,Alaska,West,,,,21699290,122480,199059,586
9/15/2022,AK,9/8/2022,"Sep 8, 2022",8-Sep-22,22-Sep,9/14/2022,281717,950,71,1329,25,25,0,0,Alaska,West,,,,21790939,111659,199571,512
9/22/2022,AK,9/15/2022,"Sep 15, 2022",15-Sep-22,22-Sep,9/21/2022,282361,644,306,1329,0,25,0,0,Alaska,West,,,,21880035,91649,200243,672
9/29/2022,AK,9/22/2022,"Sep 22, 2022",22-Sep-22,22-Sep,9/28/2022,282911,550,94,1329,0,0,0,0,Alaska,West,,,,21946681,89096,200885,642
10/6/2022,AK,9/29/2022,"Sep 29, 2022",29-Sep-22,22-Oct,10/5/2022,283548,637,87,1356,27,27,0,0,Alaska,West,,,,22008624,66646,201377,492
10/13/2022,AK,10/6/2022,"Oct 6, 2022",6-Oct-22,22-Oct,10/12/2022,284059,511,126,1356,0,27,0,0,Alaska,West,,,,22067445,61943,201907,530
10/20/2022,AK,10/13/2022,"Oct 13, 2022",13-Oct-22,22-Oct,10/19/2022,284406,347,164,1356,0,0,0,0,Alaska,West,,,,22115651,58821,202312,405
10/27/2022,AK,10/20/2022,"Oct 20, 2022",20-Oct-22,22-Oct,10/26/2022,284785,379,32,1376,20,20,0,0,Alaska,West,,,,22163015,48206,202661,349
11/3/2022,AK,10/27/2022,"Oct 27, 2022",27-Oct-22,22-Nov,11/2/2022,285144,359,20,1376,0,20,0,0,Alaska,West,,,,22213741,47364,203230,569
11/10/2022,AK,11/3/2022,"Nov 3, 2022",3-Nov-22,22-Nov,11/9/2022,285343,199,160,1376,0,0,0,0,Alaska,West,,,,22264642,50726,203577,347
11/17/2022,AK,11/10/2022,"Nov 10, 2022",10-Nov-22,22-Nov,11/16/2022,285733,390,191,1399,23,23,0,0,Alaska,West,,,,22326578,50901,203944,367
11/24/2022,AK,11/17/2022,"Nov 17, 2022",17-Nov-22,22-Nov,11/23/2022,286163,430,40,1399,0,23,0,0,Alaska,West,,,,22401924,61936,204357,413
12/1/2022,AK,11/24/2022,"Nov 24, 2022",24-Nov-22,22-Dec,11/30/2022,286561,398,32,1399,0,0,0,0,Alaska,West,,,,22489215,75346,204825,468
